p.accession,p.type,target.LPGF,decoy.LPGF
NP_006006.3,master,inf,0.6201534743453548
NP_612468.1,master,6.946896610928762,0.20433182101733316
NP_000966.2,master,inf,1.6348702501441719
NP_061485.1,master,13.273348532815415,0.3261240513277656
NP_059830.1,master,inf,0.8072424823158005
NP_060277.1,master,inf,0.017840418602718944
NP_058642.1,master,inf,0.634948316291267
NP_057604.1,master,inf,0.11027264828426983
NP_057416.1,master,inf,0.0016094794172852088
NP_006133.1,master,inf,0.0700504020449486
NP_005944.1,master,9.545223965875907,0.00014850489422328915
NP_004824.1,master,7.138518601085481,1.5543903749269923
NP_000031.1,master,inf,0.094614082542808
NP_000978.1,master,inf,0.0025141657019597838
NP_002658.1,master,10.434499442078161,0.06206444039201862
NP_002183.1,master,inf,0.1844867586666107
NP_002064.1,master,4.585886841527295,0.027918910311796212
NP_001120871.1,master,inf,0.14937332371517104
NP_001309125.1,master,8.509006581674956,0.13534679359971427
NP_001309043.1,master,inf,1.5562384393408788
NP_001308123.1,master,9.53051183174241,0.4333309021022107
NP_001307730.1,master,inf,0.18369403293018108
NP_001307540.1,master,inf,0.018785449192899314
NP_001307393.1,master,inf,0.3221794511492204
NP_001306130.1,master,inf,0.8152261930305971
NP_001305825.1,master,inf,0.005402438162066555
NP_001305770.1,master,6.147594696654879,0.311559325742998
NP_001304859.1,master,inf,1.393372458767229
NP_001303701.1,master,5.866571726008936,0.25798968604378447
NP_001303261.1,master,7.366766745843339,0.12288155064782559
NP_001303243.1,master,inf,0.5335658073894024
NP_001291646.2,master,6.25113627655394,0.4904238291511916
NP_002222.1,master,6.109064422215481,0.04542792612371283
NP_002155.1,master,inf,0.6854208693529714
NP_002124.1,master,inf,0.023742238864828107
NP_001240312.1,master,inf,0.5011617853333582
NP_058634.4,master,inf,0.24796993474778306
NP_057573.2,master,9.753006949571526,0.7631062590410999
NP_689473.1,master,inf,0.25462590765654586
NP_075447.1,master,inf,0.014507129431784786
NP_001230764.1,master,inf,0.2010245883169525
NP_997263.2,master,inf,0.12351144095331142
NP_001018126.1,master,inf,0.10298773801665329
NP_004125.3,master,inf,0.09937360389684138
NP_008877.1,master,inf,0.07179494913688703
NP_001341088.1,master,inf,0.16530322937129785
NP_001338349.1,master,inf,0.004977916665942372
NP_001334352.1,master,inf,0.3147765865317913
NP_001310548.1,master,9.137228309099054,0.2638238009745181
NP_001310550.1,master,6.027540283091366,0.2638238009745181
NP_001310234.1,master,inf,1.1258393621679768
NP_001307995.1,master,inf,0.8152261930305971
NP_001307143.1,master,inf,0.19377389318914773
NP_001304941.1,master,6.832365710870502,0.266754887634276
NP_001304698.1,master,4.621867302414788,0.42416469628210185
NP_001300822.1,master,inf,0.7272716848960344
NP_001289979.1,master,inf,0.2199463004350173
NP_055490.4,master,inf,-1.111053867467176
NP_001269373.1,master,6.970695404538659,0.14317090176325242
NP_001269287.1,master,inf,0.7697739887559081
NP_001265715.1,master,7.710159626521266,0.07694325679301878
NP_001265286.1,master,8.32072598362293,0.004358455843081194
