p.accession,p.type,target.LPGF,decoy.LPGF,qcPass,qcType
NP_055490.4,master,inf,-1.111053867467176,true,tb
NP_001269373.1,master,6.970695404538659,0.14317090176325242,true,tb
NP_001269287.1,master,inf,0.7697739887559081,true,tb
NP_001265715.1,master,7.710159626521267,0.07694325679301878,true,tb
NP_001265286.1,master,8.32072598362293,0.004358455843081194,true,tb
NP_005643.2,master,inf,0.30004285115312224,true,tb
NP_001243731.1,master,inf,0.20985937210109604,true,tb
NP_001242983.1,master,inf,0.19906131783121303,true,tb
NP_001103132.3,master,inf,0.640646172990891,true,tb
NP_001229454.1,master,inf,0.08178104085779876,true,tb
NP_001106795.2,master,inf,0.06971988113920446,true,tb
NP_002553.3,master,inf,0.3591961354595657,true,tb
NP_001171988.1,master,11.928219958617284,0.21204116027880685,true,tb
NP_001518.3,master,inf,0.2675501636264221,true,tb
NP_001161829.1,master,inf,0.4710697333166732,true,tb
NP_001159968.1,master,inf,0.1272844805471227,true,tb
NP_057510.4,master,inf,0.18708619011054026,true,tb
NP_060552.4,master,8.359753096315927,0.15656594037723745,true,tb
NP_001139580.1,master,8.114730214092317,0.36455542098813387,true,tb
NP_001139325.1,master,inf,0.10923693651307798,true,tb
NP_848927.2,master,inf,0.29182284406960085,true,tb
NP_001135974.1,master,inf,0.2925466918659585,true,tb
NP_001129206.1,master,7.368294992717256,0.8149420634556633,true,tb
NP_060096.3,master,inf,0.17215651160846332,true,tb
NP_001120794.1,master,inf,0.4614665605310685,true,tb
NP_060547.2,master,inf,0.2833918750089621,true,tb
NP_065828.2,master,7.569468908658281,0.14044184603990925,true,tb
NP_000192.2,master,inf,0.926652412068124,true,tb
NP_006507.2,master,inf,0.4101560358867528,true,tb
NP_001106849.1,master,8.313133210297986,-0.0630488413678866,true,tb
NP_001104547.1,master,inf,0.400112062148801,true,tb
NP_005246.2,master,inf,0.5719458063385414,true,tb
NP_001094064.1,master,inf,0.8699436696157885,true,tb
NP_079375.3,master,7.61123695874371,1.234869165797189,true,tb
NP_001291744.1,master,inf,0.09672763774842484,true,tb
NP_001291452.1,master,inf,1.2552652022874031,true,tb
NP_001120963.2,master,14.17643851980736,0.2905693952500722,true,tb
NP_004043.3,master,9.613753182937645,0.17500792989991035,true,tb
NP_001836.3,master,inf,0.017169823520662153,true,tb
NP_001278557.1,master,9.418746482040998,0.016578494163545274,true,tb
NP_036359.3,master,inf,1.131326932736124,true,tb
NP_001278092.1,master,inf,0.27305649694921896,true,tb
NP_001074295.2,master,inf,0.16824474426852842,true,tb
NP_001276977.1,master,8.30480943314811,0.07416482172574076,true,tb
NP_006211.2,master,1.9631843866607683,0.7024976099963924,true,tb
NP_001275905.1,master,13.214227080696759,0.989786477987474,true,tb
NP_001274355.1,master,inf,0.056686274006280526,true,tb
NP_001273490.1,master,inf,0.2972776362148253,true,tb
NP_001273015.1,master,inf,0.30384104239432164,true,tb
NP_001268644.1,master,inf,1.0676974573918157,true,tb
NP_001258833.1,master,inf,0.010836447417035835,true,tb
NP_001254524.1,master,inf,0.5096977727513072,true,tb
NP_001245149.1,master,inf,0.007426372338017675,true,tb
NP_001243442.1,master,inf,0.21936594185068148,true,tb
NP_004336.3,master,inf,2.464660136314168,true,tb
NP_001231178.1,master,inf,0.3534792965647595,true,tb
NP_001191330.1,master,inf,0.2329510450712049,true,tb
NP_001186227.1,master,8.517774168091345,0.7011770886239936,true,tb
NP_001167638.1,master,inf,0.2255840684275029,true,tb
NP_004698.3,master,7.156101369905835,0.3438469877125885,true,tb
NP_001166367.1,master,7.683465213439353,0.027217273397655967,true,tb
NP_066189.3,master,5.555030650853825,0.11411173090775223,true,tb
NP_060813.2,master,5.917232891649767,0.8230731445598338,true,tb
NP_001129166.1,master,13.109491730176744,0.06924349589946079,true,tb
NP_001008563.2,master,inf,0.002173045653292585,true,tb
NP_001116427.1,master,12.342335864094567,0.4611591531834034,true,tb
NP_006463.3,master,inf,0.5627068935152032,true,tb
NP_000844.2,master,inf,1.029672768642597,true,tb
NP_001786.2,master,inf,0.3558095167313322,true,tb
NP_000684.2,master,inf,0.08291383819519912,true,tb
NP_002347.5,master,inf,0.4628306124471713,true,tb
NP_001002836.2,master,inf,0.6582314523785918,true,tb
NP_060087.3,master,inf,0.05158930879529176,true,tb
NP_004827.4,master,6.333815699866762,0.4782012646808724,true,tb
NP_001073946.1,master,inf,0.4739720481865883,true,tb
NP_001073331.1,master,6.785099681837118,0.4220887368805201,true,tb
NP_001073272.1,master,inf,1.3072239747838963,true,tb
NP_060103.2,master,6.9200405524687145,0.2026947213869044,true,tb
NP_002652.2,master,inf,0.044707705643534094,true,tb
NP_065120.2,master,inf,0.06879972690061775,true,tb
NP_002058.2,master,inf,1.4773261155445503,true,tb
NP_000055.2,master,inf,0.12817728152079974,true,tb
NP_775487.2,master,inf,0.13312831390183713,true,tb
NP_065797.2,master,inf,0.5836367947867542,true,tb
NP_036367.2,master,7.445310661470259,0.0642466393318231,true,tb
NP_005860.2,master,7.440627500969469,0.15770078754294173,true,tb
NP_115820.2,master,4.690403432583129,0.0005755248353517872,true,tb
NP_055527.1,master,inf,0.026590230548342482,true,tb
NP_068756.2,master,inf,0.17296715003088686,true,tb
NP_036565.2,master,inf,0.015852554711505006,true,tb
NP_061848.2,master,inf,0.4414369621360656,true,tb
NP_776049.1,master,inf,0.05789947329021041,true,tb
NP_997715.1,master,inf,0.06891582959007551,true,tb
NP_056274.3,master,inf,0.06782245831013926,true,tb
NP_056150.1,master,inf,0.27805772811903234,true,tb
NP_060738.2,master,inf,0.7852098583446119,true,tb
NP_065987.1,master,inf,0.2635767734130849,true,tb
NP_008986.2,master,inf,0.6431530299614606,true,tb
NP_055087.2,master,5.692503793189952,0.00881609471348228,true,tb
NP_056006.1,master,inf,0.2648005646016803,true,tb
NP_940879.1,master,4.568060677812086,0.02054973473932114,true,tb
NP_006355.2,master,inf,0.0036468810314240095,true,tb
NP_938023.1,master,inf,0.7560575876485923,true,tb
NP_919237.1,master,inf,0.01036275884914257,true,tb
NP_569733.2,master,inf,0.5915891042366545,true,tb
NP_002638.2,master,9.796498797005444,0.3614920139220823,true,tb
NP_877496.1,master,inf,0.7773599414814468,true,tb
NP_004422.2,master,7.41190463429552,0.5498884652830891,true,tb
NP_003655.3,master,9.501136880867401,2.3655493997936463,true,tb
NP_060672.2,master,inf,0.1785587931490818,true,tb
NP_006297.2,master,13.259984571257437,0.2038773957224819,true,tb
NP_003097.1,master,9.454964262800788,0.23817679395925606,true,tb
NP_777378.1,master,10.481505895631614,1.3926647431692083,true,tb
NP_777377.1,master,6.3342420789554525,0.029246480578134764,true,tb
NP_056330.3,master,inf,0.9601199214338809,true,tb
NP_071451.2,master,inf,0.00478285689207123,true,tb
NP_060060.3,master,inf,0.04182257485030669,true,tb
NP_001970.2,master,inf,0.12384903797386793,true,tb
NP_066012.1,master,inf,0.4784619695792384,true,tb
NP_689862.1,master,inf,0.11514545575108155,true,tb
NP_689729.1,master,13.933400471121066,0.13147609137425026,true,tb
NP_062826.2,master,inf,0.2095868483703512,true,tb
NP_003696.2,master,inf,0.06029764568736986,true,tb
NP_003521.2,master,inf,0.30694952678668946,true,tb
