p.accession,p.type,target.LPGF,decoy.LPGF
NP_005112.2,master,inf,1.146052096447059
NP_733751.2,master,inf,0.25696757449818386
NP_001034669.1,master,2.912514676615135,0.03826803248566835
NP_056044.3,master,inf,0.2917925279019968
NP_056988.3,master,inf,0.03130003498779867
NP_055217.2,master,14.363525163164503,NA
NP_001747.2,master,inf,NA
NP_001389.2,master,inf,0.17523145358090153
NP_001349.2,master,inf,0.08218065256334767
NP_077078.5,master,15.109491730176746,0.3401400306595297
NP_001077.2,master,inf,0.9389275238012783
NP_001020242.1,master,inf,0.41229636508418355
NP_008860.4,master,inf,0.9203095435623974
NP_064524.3,master,inf,0.6015370267778942
NP_001019384.1,master,inf,NA
NP_937784.2,master,12.958954575593454,0.2765599990408282
NP_000254.2,master,inf,1.4265842512238767
NP_001990.2,master,inf,0.17523145358090153
NP_443076.2,master,9.701740378565592,NA
NP_005158.5,master,4.2432736349162985,NA
NP_848604.3,master,inf,0.022994376285381538
NP_003123.2,master,inf,0.03642117552484036
NP_659496.2,master,inf,0.37384112881149606
NP_542432.2,master,inf,NA
NP_060910.3,master,inf,NA
NP_001017922.1,master,15.000347260751678,0.15840986524830478
NP_714542.1,master,10.940182650023303,NA
NP_001010924.1,master,13.905371747520821,NA
NP_071376.1,master,5.865020044493243,0.15693526497884216
NP_004417.2,master,13.958954575593454,0.1542334389684088
NP_004934.1,master,6.127978710048128,NA
NP_002222.1,master,3.960187567898627,NA
NP_002155.1,master,inf,0.3843232439885166
NP_002124.1,master,inf,NA
NP_001240312.1,master,inf,NA
NP_058634.4,master,inf,NA
NP_057573.2,master,5.8061007407279055,0.31004623619992144
NP_689473.1,master,10.200354610463625,NA
NP_075447.1,master,inf,NA
NP_001230764.1,master,10.450297011745855,0.0652403078159241
NP_997263.2,master,inf,NA
NP_001018126.1,master,inf,NA
NP_004125.3,master,inf,0.11142838793554054
NP_008877.1,master,inf,0.597724575368145
NP_115677.2,master,inf,NA
NP_001074259.1,master,9.248380469679113,0.40383924789277903
NP_073742.2,master,inf,0.41229636508418355
NP_689637.3,master,4.3425206280793684,NA
NP_060232.2,master,inf,NA
NP_689520.2,master,inf,NA
NP_277048.2,master,5.94063846158238,0.5148021685662104
NP_597709.2,master,inf,0.16512496594011855
NP_001073852.1,master,5.830825140610462,NA
NP_056147.2,master,inf,NA
NP_057317.2,master,inf,0.08834372883394305
NP_056536.2,master,inf,0.1367433043780576
NP_036475.3,master,inf,NA
NP_001074002.1,master,inf,NA
NP_001073981.1,master,13.073776177910212,NA
NP_001073970.1,master,15.954589770191003,NA
NP_001073949.1,master,14.653559774527022,NA
NP_001073939.1,master,4.329344384225735,0.009384039545518948
NP_001073921.1,master,14.574378528479397,0.3902332685514997
NP_001073920.1,master,7.9924141105232565,1.739166304147761
NP_001073904.1,master,6.271215717736087,0.5467685586523408
NP_001073869.1,master,inf,NA
NP_001073861.1,master,inf,NA
NP_001073379.1,master,-0.14496157962348125,0.11935208602988474
NP_055661.3,master,12.629279398479943,0.31850752342224226
NP_065769.3,master,10.263453441901044,0.2688157134257442
NP_055318.2,master,inf,0.06364193772382616
NP_055160.2,master,inf,0.33136911999430263
NP_001935.2,master,inf,0.7954567803250414
NP_115740.5,master,4.979045482451814,0.05579872328287593
NP_079291.2,master,8.558786142693924,NA
NP_055845.1,master,inf,0.5289525050908912
NP_000485.3,master,inf,1.069439880334257
NP_002283.3,master,inf,0.8575583916054785
NP_001223.2,master,inf,NA
NP_000159.3,master,8.20608973714957,0.27721139772784775
NP_002171.2,master,inf,0.08834372883394305
NP_000138.2,master,inf,0.3067966461241435
NP_006378.3,master,inf,0.60796621002595
NP_056315.1,master,8.583981597719127,NA
NP_001072992.1,master,12.178397255443931,0.21564603238396723
NP_689957.3,master,inf,0.017491863984908415
NP_849172.2,master,4.9137905694432895,0.18884222005621093
NP_112236.3,master,inf,NA
NP_037431.3,master,3.831664172467295,0.1260509811350409
NP_940983.2,master,6.3847576774872,0.12260403592432907
NP_976324.2,master,inf,NA
NP_001073027.1,master,inf,0.0914561875644078
NP_001073005.1,master,9.470349027392677,NA
NP_065768.2,master,inf,2.9066461278670803
NP_059117.3,master,inf,NA
NP_065076.2,master,inf,0.05072325888674956
NP_003093.2,master,inf,NA
NP_057417.3,master,inf,1.0482771394190615
NP_114141.2,master,inf,0.3401400306595297
NP_056474.2,master,inf,0.3299538064237481
NP_056201.2,master,3.9462254105305963,0.8097568089519775
NP_005783.2,master,inf,0.721624890691706
NP_001015882.2,master,7.481408139819544,0.43374015948023853
NP_001262.3,master,inf,0.21083282586693838
NP_004652.2,master,inf,0.4456788458755116
NP_006699.2,master,inf,0.02799498514633956
NP_036296.2,master,12.193188212692373,NA
NP_057085.2,master,inf,NA
NP_004881.2,master,inf,0.05144352203380374
NP_055209.2,master,inf,NA
NP_001071639.1,master,2.74129243788767,1.0657046312569056
NP_060941.2,master,inf,2.265838038445237
NP_001096078.1,master,inf,0.27182008108556377
NP_054900.2,master,inf,NA
NP_008870.2,master,inf,0.20787328093091317
NP_036466.2,master,inf,0.02906311829138041
NP_002151.2,master,inf,0.6508298773401225
NP_065770.1,master,inf,1.0336000538493768
NP_001538.4,master,inf,0.04258931169941238
NP_835465.2,master,inf,0.09883180290943502
NP_001092879.1,master,inf,NA
NP_997046.1,master,inf,NA
NP_036260.2,master,inf,NA
NP_001092108.1,master,inf,0.10068628051075634
NP_065849.1,master,2.544947970964786,1.2045445522498093
NP_001088.2,master,1.1104701842229385,NA
NP_005151.2,master,5.6731393535778265,NA
NP_689805.3,master,inf,0.07866378310932166
NP_003709.3,master,4.436937251290891,0.09895250738276046
NP_000496.2,master,inf,NA
NP_001076783.1,master,11.37501194075117,NA
NP_075055.1,master,inf,NA
NP_001075019.1,master,inf,0.5609152461896109
NP_000327.2,master,5.771230016011883,NA
NP_005518.3,master,10.184924487137762,0.29154994292519293
NP_006589.2,master,inf,NA
NP_001073919.1,master,inf,0.2611898911981985
NP_001073350.1,master,9.448398733885004,0.18524108431606476
NP_000887.2,master,3.078957830691114,NA
NP_001246.2,master,inf,NA
NP_064590.2,master,inf,1.2342524195993139
NP_079216.4,master,inf,0.09289046832519436
NP_542172.2,master,8.573697220829478,NA
NP_689555.2,master,7.458002312205022,1.3071037554745348
NP_001070253.1,master,8.004582308990555,NA
NP_067047.4,master,10.311038401628059,0.19825689161879698
NP_078978.2,master,inf,NA
NP_006708.2,master,inf,NA
NP_006050.3,master,6.885133399419712,0.18630759996748664
NP_001035919.1,master,8.510886201301027,NA
NP_060469.4,master,13.191161776628066,0.31371714769479936
NP_002759.2,master,inf,0.3703379502046853
NP_001035791.1,master,10.948359123709979,NA
NP_056240.2,master,inf,0.04531705750584912
NP_003925.1,master,inf,NA
NP_001025147.2,master,2.6880002822083693,0.10411584443691818
NP_001623.3,master,inf,NA
NP_612393.2,master,inf,NA
NP_003077.2,master,13.259984571257435,0.1523790896226115
NP_072096.2,master,inf,0.13347788523802734
NP_061152.3,master,inf,0.005309484925971467
NP_659419.3,master,inf,1.7224708310006211
NP_001274426.1,master,12.220190027670435,0.6508298773401225
NP_001274361.1,master,9.86263209086535,0.9467746146495064
NP_001274267.1,master,inf,0.15449049974708154
NP_001273560.1,master,4.385749190123779,NA
NP_001273561.1,master,6.404226196807561,NA
NP_056532.4,master,inf,0.39199756147059633
NP_001193980.1,master,3.670730024856712,0.11972814410169558
NP_001193943.1,master,inf,NA
NP_001193940.1,master,13.100283728389924,NA
NP_076433.3,master,inf,0.9119094406925711
NP_991111.2,master,3.4820889736518725,0.34364998914338324
NP_001193881.1,master,inf,NA
