p.accession,p.type,target.LPGF,decoy.LPGF,qcPass,qcType
NP_005112.2,master,inf,1.146052096447059,true,tb
NP_733751.2,master,inf,0.25696757449818386,true,tb
NP_001034669.1,master,2.9125146766151344,0.03826803248566835,true,tb
NP_056044.3,master,inf,0.2917925279019968,true,tb
NP_056988.3,master,inf,0.03130003498779867,true,tb
NP_055217.2,master,14.363525163164505,NA,true,to
NP_001747.2,master,inf,NA,true,to
NP_001389.2,master,inf,0.17523145358090153,true,tb
NP_001349.2,master,inf,0.08218065256334768,true,tb
NP_077078.5,master,15.109491730176744,0.3401400306595297,true,tb
NP_001077.2,master,inf,0.9389275238012784,true,tb
NP_001020242.1,master,inf,0.4122963650841836,true,tb
NP_008860.4,master,inf,0.9203095435623974,true,tb
NP_064524.3,master,inf,0.6015370267778942,true,tb
NP_001019384.1,master,inf,NA,true,to
NP_937784.2,master,12.958954575593454,0.2765599990408282,true,tb
NP_000254.2,master,inf,1.4265842512238769,true,tb
NP_001990.2,master,inf,0.17523145358090153,true,tb
NP_443076.2,master,9.701740378565592,NA,true,to
NP_005158.5,master,4.2432736349162985,NA,true,to
NP_848604.3,master,inf,0.022994376285381538,true,tb
NP_003123.2,master,inf,0.036421175524840366,true,tb
NP_659496.2,master,inf,0.3738411288114961,true,tb
NP_542432.2,master,inf,NA,true,to
NP_060910.3,master,inf,NA,true,to
NP_001017922.1,master,15.000347260751676,0.15840986524830478,true,tb
NP_714542.1,master,10.940182650023305,NA,true,to
NP_001010924.1,master,13.905371747520821,NA,true,to
NP_071376.1,master,5.865020044493242,0.15693526497884214,true,tb
NP_004417.2,master,13.958954575593454,0.1542334389684088,true,tb
NP_004934.1,master,6.127978710048128,NA,true,to
NP_002222.1,master,3.960187567898627,NA,true,to
NP_002155.1,master,inf,0.3843232439885166,true,tb
NP_002124.1,master,inf,NA,true,to
NP_001240312.1,master,inf,NA,true,to
NP_058634.4,master,inf,NA,true,to
NP_057573.2,master,5.8061007407279055,0.31004623619992144,true,tb
NP_689473.1,master,10.200354610463624,NA,true,to
NP_075447.1,master,inf,NA,true,to
NP_001230764.1,master,10.450297011745857,0.0652403078159241,true,tb
NP_997263.2,master,inf,NA,true,to
NP_001018126.1,master,inf,NA,true,to
NP_004125.3,master,inf,0.11142838793554054,true,tb
NP_008877.1,master,inf,0.597724575368145,true,tb
NP_115677.2,master,inf,NA,true,to
NP_001074259.1,master,9.248380469679114,0.40383924789277903,true,tb
NP_073742.2,master,inf,0.4122963650841836,true,tb
NP_689637.3,master,4.342520628079368,NA,true,to
NP_060232.2,master,inf,NA,true,to
NP_689520.2,master,inf,NA,true,to
NP_277048.2,master,5.940638461582379,0.5148021685662104,true,tb
NP_597709.2,master,inf,0.16512496594011855,true,tb
NP_001073852.1,master,5.830825140610463,NA,true,to
NP_056147.2,master,inf,NA,true,to
NP_057317.2,master,inf,0.08834372883394305,true,tb
NP_056536.2,master,inf,0.1367433043780576,true,tb
NP_036475.3,master,inf,NA,true,to
NP_001074002.1,master,inf,NA,true,to
NP_001073981.1,master,13.073776177910213,NA,true,to
NP_001073970.1,master,15.954589770191006,NA,true,to
NP_001073949.1,master,14.653559774527023,NA,true,to
NP_001073939.1,master,4.329344384225735,0.009384039545518948,true,tb
NP_001073921.1,master,14.574378528479395,0.3902332685514997,true,tb
NP_001073920.1,master,7.992414110523256,1.739166304147761,true,tb
NP_001073904.1,master,6.271215717736088,0.5467685586523408,true,tb
NP_001073869.1,master,inf,NA,true,to
NP_001073861.1,master,inf,NA,true,to
NP_001073379.1,master,-0.14496157962348125,0.11935208602988474,false,db
NP_055661.3,master,12.629279398479946,0.31850752342224226,true,tb
NP_065769.3,master,10.263453441901042,0.2688157134257442,true,tb
NP_055318.2,master,inf,0.06364193772382616,true,tb
NP_055160.2,master,inf,0.33136911999430263,true,tb
NP_001935.2,master,inf,0.7954567803250414,true,tb
NP_115740.5,master,4.979045482451813,0.05579872328287593,true,tb
NP_079291.2,master,8.558786142693924,NA,true,to
NP_055845.1,master,inf,0.5289525050908912,true,tb
NP_000485.3,master,inf,1.069439880334257,true,tb
NP_002283.3,master,inf,0.8575583916054785,true,tb
NP_001223.2,master,inf,NA,true,to
NP_000159.3,master,8.20608973714957,0.2772113977278477,true,tb
NP_002171.2,master,inf,0.08834372883394305,true,tb
NP_000138.2,master,inf,0.3067966461241435,true,tb
NP_006378.3,master,inf,0.60796621002595,true,tb
NP_056315.1,master,8.583981597719129,NA,true,to
NP_001072992.1,master,12.178397255443931,0.21564603238396726,true,tb
NP_689957.3,master,inf,0.017491863984908415,true,tb
NP_849172.2,master,4.9137905694432895,0.18884222005621093,true,tb
NP_112236.3,master,inf,NA,true,to
NP_037431.3,master,3.831664172467295,0.1260509811350409,true,tb
